behaviorSpaceRun,componentID,members,terr,mem,numPred,meanDist
34,3,,None,Individual,1,0.7352253056036627
34,4,,None,Individual,1,0.14598510197962203
34,5,,None,Individual,1,NA
34,6,,None,Individual,1,NA
34,7,,None,Individual,1,NA
35,1,,None,Individual,1,2.3300402703914123
35,2,,None,Individual,1,1.2254540075705695
35,3,,None,Individual,1,2.271819037897238
35,4,,None,Individual,1,30.213916388975456
36,1,,None,Individual,1,0.23904483898466278
36,2,,None,Individual,1,2.543068030885781
36,3,,None,Individual,1,NA
36,4,,None,Individual,1,1.1322892174574415
36,5,,None,Individual,1,NA
36,6,,None,Individual,1,NA
37,1,,None,Individual,1,3.3200077469357154
37,2,,None,Individual,1,2.701627114394639
37,3,,None,Individual,1,0.3210181614800015
38,1,,None,Individual,1,2.067422933447409
38,2,,None,Individual,1,1.554756145408554
39,1,,None,Individual,1,2.9083370889743465
39,2,,None,Individual,1,0.5061735957541166
39,3,,None,Individual,1,NA
39,4,,None,Individual,1,0.6253801403946239
39,5,,None,Individual,1,NA
40,1,,None,Individual,1,20.128347221335048
40,2,,None,Individual,1,1.319554091814059
41,1,,None,Individual,1,2.2833464259522143
41,2,,None,Individual,1,1.5465809619731017
41,3,,None,Individual,1,0.17744094792352927
41,4,,None,Individual,1,NA
41,5,,None,Individual,1,NA
41,6,,None,Individual,1,NA
42,1,,None,Individual,1,2.972903327009797
42,2,,None,Individual,1,5.073251621925764
43,1,,None,Individual,1,0.809573154577795
43,2,,None,Individual,1,0.8513911998118138
43,3,,None,Individual,1,2.8605051373393855
44,1,,None,Individual,1,0.6553310102575016
44,2,,None,Individual,1,32.04609403841324
44,3,,None,Individual,1,1.394846478776291
44,4,,None,Individual,1,1.4616029608693035
45,1,,None,Individual,1,0.5473949957560255
45,2,,None,Individual,1,0.7306177728679006
45,3,,None,Individual,1,3.1515319641082984
45,4,,None,Individual,1,7.5365020444837265
46,1,,None,Individual,1,1.7872588289118416
46,2,,None,Individual,1,1.2689141257409573
47,1,,None,Individual,1,1.0069263072975971
47,2,,None,Individual,1,2.5299972480637414
47,3,,None,Individual,1,0.8956262766309073
48,1,,None,Individual,1,0.18241811861764673
48,2,,None,Individual,1,3.3959744094027977
48,3,,None,Individual,1,3.0341021157776233
49,1,,None,Individual,1,5.902263600852011
49,2,,None,Individual,1,1.3688459198137224
49,3,,None,Individual,1,3.8539202346258556
49,4,,None,Individual,1,0.6445230321601176
50,1,,None,Individual,1,1.0748050218961513
50,2,,None,Individual,1,NA
50,3,,None,Individual,1,NA
50,4,,None,Individual,1,NA
50,5,,None,Individual,1,NA
50,6,,None,Individual,1,1.5564471897934589
50,7,,None,Individual,1,NA
51,1,,None,Individual,2,2.574554701877073
51,2,,None,Individual,2,1.0334804642981912
51,3,,None,Individual,2,NA
51,4,,None,Individual,2,NA
51,5,,None,Individual,2,0.819696888934006
52,1,,None,Individual,2,3.66107421363438
52,2,,None,Individual,2,4.1079212855852205
52,3,,None,Individual,2,1.128919883040389
52,4,,None,Individual,2,2.5209524013753213
52,5,,None,Individual,2,2.9752065407295665
52,6,,None,Individual,2,NA
53,1,,None,Individual,2,1.8421280765428443
53,2,,None,Individual,2,1.1718724277295918
53,3,,None,Individual,2,NA
53,4,,None,Individual,2,NA
53,5,,None,Individual,2,NA
54,1,,None,Individual,2,5.138256374845012
54,2,,None,Individual,2,1.464617248669618
54,3,,None,Individual,2,1.265242654046633
54,4,,None,Individual,2,0.2944899744937674
55,1,,None,Individual,2,3.3170643456406443
55,2,,None,Individual,2,1.2005112839651513
55,3,,None,Individual,2,1.2786313325675456
55,4,,None,Individual,2,1.5836952527954427
55,5,,None,Individual,2,3.8799460091497897
55,6,,None,Individual,2,NA
55,7,,None,Individual,2,94.64272402356136
55,8,,None,Individual,2,NA
56,1,,None,Individual,2,0.9593940506333977
56,2,,None,Individual,2,0.9248691531984644
56,3,,None,Individual,2,0.4994517494213028
56,4,,None,Individual,2,15.219469203712714
57,1,,None,Individual,2,2.149903769905182
57,2,,None,Individual,2,22.799801678523433
57,3,,None,Individual,2,1.103935877282858
57,4,,None,Individual,2,0.9666048306327528
58,1,,None,Individual,2,5.94781448984198
58,2,,None,Individual,2,0.02757716446627212
59,1,,None,Individual,2,14.443191473826289
59,2,,None,Individual,2,1.2168239679966641
59,3,,None,Individual,2,0.5115906461149294
60,1,,None,Individual,2,1.4640386136220669
60,2,,None,Individual,2,66.37917014342811
60,3,,None,Individual,2,1.25340659276202
60,4,,None,Individual,2,0.9679541554419916
61,1,,None,Individual,2,1.7450632709532385
61,2,,None,Individual,2,NA
61,3,,None,Individual,2,0.06931413997158205
61,4,,None,Individual,2,NA
61,5,,None,Individual,2,NA
61,6,,None,Individual,2,0.9512785343946324
61,7,,None,Individual,2,NA
61,8,,None,Individual,2,NA
62,1,,None,Individual,2,0.7907007193251918
62,2,,None,Individual,2,0.9816085486320528
62,3,,None,Individual,2,41.99146418124036
62,4,,None,Individual,2,0.8423919602883657
63,1,,None,Individual,2,0.6981820463880154
63,2,,None,Individual,2,0.8813042720876821
63,3,,None,Individual,2,NA
63,4,,None,Individual,2,1.964156489308959
63,5,,None,Individual,2,0.7842004148732112
64,1,,None,Individual,2,2.312364766438273
