effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),2.011007332,0.049451812,40.66599899,761.0574887,5.28E-193,1.913929176,2.108085488
fixed,terrPred,-0.051335226,0.038532203,-1.332268126,4028.715282,0.182847451,-0.126879652,0.0242092
fixed,terrPrey,0.663736345,0.039114971,16.96885693,4021.515147,1.98E-62,0.587049331,0.74042336
fixed,memNone,-0.051026565,0.039192848,-1.301935646,4004.507275,0.193013269,-0.12786636,0.025813229
fixed,memShared,0.326520493,0.037611402,8.681423093,4006.989074,5.60E-18,0.252781226,0.40025976
fixed,numPred2,0.001738561,0.052367284,0.03319937,257.2342843,0.973541347,-0.101384614,0.104861735
fixed,numPred3,-0.044875378,0.050778974,-0.883739371,226.7680674,0.377772881,-0.144934346,0.05518359
fixed,numPred4,-0.015029976,0.050263936,-0.299021077,219.403602,0.765207004,-0.114091912,0.084031959
