"","behaviorSpaceRun","tick","compID","mean_within_dist","n_pairs","numPred"
"129","1",3150,1,2.80445277759315,106,1
"130","1",3200,1,3.10377273070564,110,1
"131","1",3250,1,3.12420903166327,113,1
"132","1",3300,1,3.05566564414748,111,1
"133","1",3350,1,3.03254236871207,110,1
"134","1",3400,1,3.03212274568293,115,1
"135","1",3450,1,2.87174381120793,112,1
"136","1",3500,1,2.7162638689855,99,1
"137","1",3550,1,2.4791389945861,95,1
"138","1",3600,1,2.26073623721262,92,1
"139","1",3650,1,2.60914287541122,55,1
"140","1",3650,2,1.29745534800814,36,1
"141","1",3700,1,2.69751307644899,55,1
"142","1",3700,2,1.4112875623033,36,1
"143","1",3750,1,2.69223809830327,55,1
"144","1",3750,2,0.67648216970848,6,1
"145","1",3750,3,0.634024222486447,10,1
"146","1",3800,1,2.76947581911361,55,1
"147","1",3800,2,0.737858638222797,1,1
"148","1",3800,3,1.33511008527028,21,1
"149","1",3850,1,2.70152622194331,55,1
"150","1",3850,2,1.12030771382454,36,1
"151","1",3900,1,2.66387608819999,54,1
"152","1",3900,2,1.85132963138267,36,1
"153","1",3950,1,2.59900981898746,55,1
"154","1",3950,2,1.87314543474509,36,1
"155","1",4000,1,2.68704199707484,55,1
"156","1",4000,2,1.32858520628765,36,1
"157","1",4050,1,2.63198632439131,55,1
"158","1",4050,2,1.53695465299419,36,1
"159","1",4100,1,2.65765383654901,54,1
"160","1",4100,2,1.17961011679088,36,1
"161","1",4150,1,2.74158397596661,55,1
"162","1",4150,2,0.60901426626554,3,1
"163","1",4150,3,0.158717012320671,1,1
"164","1",4150,4,0.705771917873452,6,1
"165","1",4200,1,2.74098868349753,55,1
"166","1",4200,2,1.50307519029919,36,1
"167","1",4250,1,2.95582509404673,52,1
"168","1",4250,2,1.27587720917225,21,1
"169","1",4250,3,1.16959280521043,1,1
"170","1",4300,1,2.25651071126366,55,1
"171","1",4300,2,1.47206794655623,21,1
"172","1",4300,3,0.966971338768632,1,1
"173","1",4350,1,3.21903595967188,126,1
"174","1",4350,2,0.936671687412404,1,1
"175","1",4400,1,2.79874313755552,134,1
"176","1",4400,2,0.896960829691019,1,1
"177","1",4450,1,2.79142941286568,132,1
"178","1",4450,2,0.868177499132522,1,1
"179","1",4500,1,2.9127409106189,145,1
"180","1",4550,1,2.94824012645918,144,1
"181","1",4600,1,2.77446481231615,138,1
"182","1",4650,1,2.97577916764618,128,1
"183","1",4700,1,3.14761722606536,84,1
"184","1",4700,2,3.65027454533506,3,1
"185","1",4750,1,3.16323091113502,124,1
"186","1",4800,1,2.93843359476122,115,1
"187","1",4800,2,1.60765043177505,3,1
"188","1",4850,1,2.95708495936946,134,1
"189","1",4900,1,3.22465061059713,124,1
"190","1",4950,1,2.66956976525185,161,1
"191","1",5000,1,2.66099686670668,159,1
"192","1",5050,1,2.71668824257303,161,1
"193","1",5100,1,2.3317043128764,127,1
"194","1",5100,2,2.11305686151604,1,1
"195","1",5150,1,2.25335580829993,114,1
"196","1",5150,2,2.10263558652847,3,1
"197","1",5200,1,2.56605673512598,159,1
"198","1",5250,1,2.65345032255034,162,1
"199","1",5300,1,2.63543632548929,164,1
"200","1",5350,1,2.30566265487743,169,1
"201","1",5400,1,2.53572526045304,168,1
"202","1",5450,1,2.82460711697995,166,1
"203","1",5500,1,2.97921497145979,156,1
"204","1",5550,1,2.92128847474811,141,1
"205","1",5600,1,2.34065229989314,66,1
"206","1",5600,2,2.59002630536174,17,1
"207","1",5650,1,3.07236062714808,146,1
"208","1",5700,1,3.31736148779946,105,1
"209","1",5700,2,0.75238324649905,3,1
"210","1",5750,1,2.72554562034603,121,1
"211","1",5750,2,0.512779689049927,3,1
"212","1",5800,1,2.89370521798057,112,1
"213","1",5800,2,0.571000086609812,3,1
"214","1",5850,1,3.05534996518868,108,1
"215","1",5850,2,0.190270127396942,3,1
"216","1",5900,1,3.10732163517888,111,1
"217","1",5900,2,0.5909607781172,3,1
"218","1",5950,1,1.9531793347293,55,1
"219","1",5950,2,2.09143321738753,15,1
"220","1",5950,3,0.64028358554263,3,1
"221","1",6000,1,2.98380232723184,97,1
"222","1",6000,2,0.423938586474623,3,1
"223","1",6050,1,2.63890845582794,94,1
"224","1",6050,2,0.388661177490595,3,1
"225","1",6100,1,2.6329719398709,93,1
"226","1",6100,2,0.404002136702741,3,1
"227","1",6150,1,2.31444960344716,78,1
"228","1",6150,2,0.253727325463047,3,1
"229","1",6200,1,1.67162774468767,55,1
"230","1",6200,2,2.12928356276835,15,1
"231","1",6200,3,0.945465543379789,3,1
"232","1",6250,1,2.34658661141403,58,1
"233","1",6250,2,2.17759650282975,15,1
"234","1",6300,1,2.45272841692564,73,1
"235","1",6300,2,0.612869319173834,6,1
"236","1",6300,3,0.72425748183916,1,1
"237","1",6350,1,2.57181206802897,190,1
"238","1",6400,1,2.78100981237452,97,1
"239","1",6450,1,3.00324002555658,153,1
"240","1",6500,1,2.65630061472353,189,1
"241","1",6550,1,3.01591611397519,188,1
"242","1",6600,1,3.25058705848782,171,1
"243","1",6650,1,3.10388697587937,181,1
"244","1",6700,1,3.12018705383372,170,1
"245","1",6750,1,3.1009664415743,165,1
"246","1",6800,1,2.82574999260487,131,1
"247","1",6850,1,2.43562661316898,136,1
