"","compID","mean_within_dist","n_pairs","numPred","behaviorSpaceRun","tick"
"123",3,1.87992695896325,36,1,"1",2000
"124",1,1.74794543048199,36,1,"1",2050
"125",2,1.91818407484063,36,1,"1",2050
"126",1,0.512939928256711,1,1,"1",2100
"127",2,2.23850552823516,36,1,"1",2100
"128",3,1.53993302256792,36,1,"1",2100
"129",1,2.50483998038988,38,1,"1",2150
"130",2,1.71357888217671,36,1,"1",2150
"131",1,2.42034739413793,39,1,"1",2200
"132",2,1.43116311798968,36,1,"1",2200
"133",1,1.61909511264058,34,1,"1",2250
"134",2,1.50434340447012,36,1,"1",2250
"135",1,1.75274807593829,32,1,"1",2300
"136",2,1.48558403785083,36,1,"1",2300
"137",1,3.29695017627267,3,1,"1",2350
"138",2,1.40313407629144,28,1,"1",2350
"139",3,1.37030713738743,36,1,"1",2350
"140",1,2.18529121631272,3,1,"1",2400
"141",2,1.67874803196525,28,1,"1",2400
"142",3,1.20563456849961,36,1,"1",2400
"143",1,2.07122753580584,3,1,"1",2450
"144",2,1.20605539259303,28,1,"1",2450
"145",3,1.66068437170452,36,1,"1",2450
"146",1,1.822867383669,3,1,"1",2500
"147",2,1.31164504413207,28,1,"1",2500
"148",3,1.75153210084562,36,1,"1",2500
"149",1,1.7807106219536,3,1,"1",2550
"150",2,1.24678739833622,28,1,"1",2550
"151",3,1.76620804965641,36,1,"1",2550
"152",1,1.33058085270034,3,1,"1",2600
"153",2,0.933371925688377,28,1,"1",2600
"154",3,2.04860516183598,36,1,"1",2600
"155",1,1.14607570341065,3,1,"1",2650
"156",2,0.982348564899809,28,1,"1",2650
"157",3,2.06732748921243,36,1,"1",2650
"158",1,0.96443939299089,3,1,"1",2700
"159",2,1.67881420104806,28,1,"1",2700
"160",3,2.31906813644001,36,1,"1",2700
"161",1,0.993275792675101,3,1,"1",2750
"162",2,1.21324557011072,28,1,"1",2750
"163",3,1.96122291267755,36,1,"1",2750
"164",1,0.723242330795868,3,1,"1",2800
"165",2,0.531866058191223,3,1,"1",2800
"166",3,0.805033840002807,10,1,"1",2800
"167",4,2.06220256624768,36,1,"1",2800
"168",1,0.977256037290123,3,1,"1",2850
"169",2,1.26630287200183,28,1,"1",2850
"170",3,1.60312667031882,28,1,"1",2850
"171",1,1.22694082046955,3,1,"1",2900
"172",2,1.18491256384004,28,1,"1",2900
"173",3,1.62324377403607,33,1,"1",2900
"174",1,1.30540949806855,3,1,"1",2950
"175",2,1.60569363403748,28,1,"1",2950
"176",3,1.80154266574744,33,1,"1",2950
"177",1,1.50032608745051,3,1,"1",3000
"178",2,1.21348042414576,28,1,"1",3000
"179",3,1.6882764288996,30,1,"1",3000
"180",1,0.862349131589507,3,1,"1",3050
"181",2,1.34947383008049,28,1,"1",3050
"182",3,1.6818239339128,32,1,"1",3050
"183",1,0.649697185174459,3,1,"1",3100
"184",2,1.16150879510387,28,1,"1",3100
"185",3,2.30776499956505,36,1,"1",3100
"186",1,0.655184993095568,3,1,"1",3150
"187",2,1.16913129784719,28,1,"1",3150
"188",3,1.89155739692154,32,1,"1",3150
"189",1,0.729472276721857,3,1,"1",3200
"190",2,1.1703894022527,28,1,"1",3200
"191",3,1.9383637984438,31,1,"1",3200
"192",1,0.843557260830197,3,1,"1",3250
"193",2,1.08663508103733,15,1,"1",3250
"194",3,1.60921411803412,31,1,"1",3250
"195",4,0.938586053593381,1,1,"1",3250
"196",1,0.952085236576537,3,1,"1",3300
"197",2,1.46033698657819,28,1,"1",3300
"198",3,2.05099366701908,33,1,"1",3300
"199",1,1.15285896431638,3,1,"1",3350
"200",2,1.49803662327777,28,1,"1",3350
"201",3,2.01056089327277,33,1,"1",3350
"202",1,0.858033891103404,3,1,"1",3400
"203",2,1.57351720602557,28,1,"1",3400
"204",3,2.03921820056259,33,1,"1",3400
"205",1,0.822339851982406,3,1,"1",3450
"206",2,1.3777178254706,28,1,"1",3450
"207",3,2.44635090878025,29,1,"1",3450
"208",1,0.612027623518488,3,1,"1",3500
"209",2,1.13227105007848,28,1,"1",3500
"210",3,1.68633525652417,36,1,"1",3500
"211",1,0.577361748340688,3,1,"1",3550
"212",2,1.1173437359816,28,1,"1",3550
"213",3,1.71488773676473,36,1,"1",3550
"214",1,0.682976960173222,3,1,"1",3600
"215",2,0.931981520361472,21,1,"1",3600
"216",3,1.69662350110717,36,1,"1",3600
"217",1,1.00964336611039,3,1,"1",3650
"218",2,1.44593790720528,28,1,"1",3650
"219",3,1.76936965243798,36,1,"1",3650
"220",1,1.53067771036607,3,1,"1",3700
"221",2,3.12667984861355,51,1,"1",3700
"222",1,2.80598791928565,41,1,"1",3750
"223",2,2.65223726530619,28,1,"1",3750
"224",1,2.22697045304628,43,1,"1",3800
"225",2,2.5935866358248,28,1,"1",3800
"226",1,2.85325569973398,89,1,"1",3850
"227",1,2.80779758816732,91,1,"1",3900
"228",1,2.94795137388526,96,1,"1",3950
"229",1,2.99385798227573,102,1,"1",4000
"230",1,3.00723248136897,100,1,"1",4050
"231",1,2.74906707032876,97,1,"1",4100
"232",1,2.60700039387413,95,1,"1",4150
"233",1,1.14989444551797,6,1,"1",4200
"234",2,2.27884712723456,48,1,"1",4200
