"","compID","mean_within_dist","n_pairs","numPred","behaviorSpaceRun","tick"
"123",3,3.94463119695619,1,1,"1",2750
"124",1,2.70020134949485,48,1,"1",2800
"125",2,1.80775495264658,36,1,"1",2800
"126",1,2.77105941636747,48,1,"1",2850
"127",2,1.8370707673564,36,1,"1",2850
"128",1,2.33714062773615,92,1,"1",2900
"129",1,2.36508847932884,91,1,"1",2950
"130",1,2.41987812710339,94,1,"1",3000
"131",1,2.38133792454341,40,1,"1",3050
"132",2,1.40441183996,39,1,"1",3050
"133",1,2.44320239169339,96,1,"1",3100
"134",1,2.6558468355507,106,1,"1",3150
"135",1,3.23999146992696,41,1,"1",3200
"136",2,3.17197654934084,15,1,"1",3200
"137",1,2.97281968479704,92,1,"1",3250
"138",1,3.02895992541313,178,1,"1",3300
"139",1,2.59664371487815,185,1,"1",3350
"140",1,2.67224184206169,185,1,"1",3400
"141",1,2.62143893917347,186,1,"1",3450
"142",1,2.83669629389279,186,1,"1",3500
"143",1,2.59284013842481,185,1,"1",3550
"144",1,3.04169999366115,175,1,"1",3600
"145",1,1.69042215820654,66,1,"1",3650
"146",2,2.48513043191828,25,1,"1",3650
"147",1,2.76049437558173,166,1,"1",3700
"148",1,2.96325226460412,165,1,"1",3750
"149",1,2.94526657097342,101,1,"1",3800
"150",2,1.45432559566622,6,1,"1",3800
"151",1,3.22219046286282,147,1,"1",3850
"152",1,3.41969317991218,80,1,"1",3900
"153",1,3.01911965242377,133,1,"1",3950
"154",1,3.21346000487128,133,1,"1",4000
"155",1,3.0899233331961,97,1,"1",4050
"156",2,0.599822006932057,1,1,"1",4050
"157",1,3.14191492444772,115,1,"1",4100
"158",2,0.718324829029319,1,1,"1",4100
"159",1,3.12688677346878,133,1,"1",4150
"160",1,3.19860676209935,133,1,"1",4200
"161",1,3.11723434272988,136,1,"1",4250
"162",1,3.16971855721384,134,1,"1",4300
"163",1,2.10347088231259,55,1,"1",4350
"164",2,2.1017498854289,36,1,"1",4350
"165",1,2.89359929239647,98,1,"1",4400
"166",2,3.32554772932219,1,1,"1",4400
"167",1,2.7910585003257,114,1,"1",4450
"168",1,2.90154303131814,116,1,"1",4500
"169",1,2.48337841602297,106,1,"1",4550
"170",1,2.90376149925935,87,1,"1",4600
"171",2,1.29266744756724,1,1,"1",4600
"172",3,0.151979899986808,1,1,"1",4600
"173",1,3.39257993084681,113,1,"1",4650
"174",2,0.154537406474938,1,1,"1",4650
"175",1,3.5150491406602,103,1,"1",4700
"176",2,0.76627527108696,3,1,"1",4700
"177",1,1.42344167317108,28,1,"1",4750
"178",2,2.99836121507168,28,1,"1",4750
"179",3,0.994116018918696,3,1,"1",4750
"180",1,1.60334510446553,45,1,"1",4800
"181",2,2.74578246477965,36,1,"1",4800
"182",1,3.14928210019153,110,1,"1",4850
"183",2,1.17708140274356,3,1,"1",4850
"184",1,3.15027410777587,107,1,"1",4900
"185",2,0.987773739006194,3,1,"1",4900
"186",1,3.2505568787381,103,1,"1",4950
"187",2,1.05131140420831,3,1,"1",4950
"188",1,2.848441875941,92,1,"1",5000
"189",2,2.60345541178114,6,1,"1",5000
"190",1,2.79367011126666,72,1,"1",5050
"191",2,3.17871832221176,6,1,"1",5050
"192",1,1.87171027630425,3,1,"1",5100
"193",2,2.46818917503118,89,1,"1",5100
"194",3,2.14055496542369,1,1,"1",5100
"195",1,2.15259714994542,103,1,"1",5150
"196",2,0.667575351552168,1,1,"1",5150
"197",1,2.56026285455395,129,1,"1",5200
"198",1,2.74687316485815,99,1,"1",5250
"199",2,3.14179200748844,3,1,"1",5250
"200",1,2.65081264151832,141,1,"1",5300
"201",1,2.87075862901324,139,1,"1",5350
"202",1,2.95971279681483,137,1,"1",5400
"203",1,3.02648191251851,142,1,"1",5450
"204",1,3.4026773617544,140,1,"1",5500
"205",1,3.05456120879674,133,1,"1",5550
"206",1,3.5710865534261,16,1,"1",5600
"207",2,2.56535849986652,72,1,"1",5600
"208",1,3.61633909691115,131,1,"1",5650
"209",1,2.94986382725698,178,1,"1",5700
"210",1,2.78435434793133,179,1,"1",5750
"211",1,3.09988928339626,172,1,"1",5800
"212",1,2.99332874552545,170,1,"1",5850
"213",1,3.14598538880617,167,1,"1",5900
"214",1,3.16169204719027,164,1,"1",5950
"215",1,3.10018481369474,164,1,"1",6000
"216",1,3.01257530026202,147,1,"1",6050
"217",1,1.98064889758308,55,1,"1",6100
"218",2,1.47280894738028,28,1,"1",6100
"219",1,2.88390923853546,155,1,"1",6150
"220",1,3.27345363794329,160,1,"1",6200
"221",1,2.91719228584293,132,1,"1",6250
"222",1,2.90298976813575,157,1,"1",6300
"223",1,2.83965904788512,156,1,"1",6350
"224",1,3.00857540574464,152,1,"1",6400
"225",1,2.84471248943514,169,1,"1",6450
"226",1,3.04071152486857,171,1,"1",6500
"227",1,2.68260801532633,171,1,"1",6550
"228",1,2.79849974027062,168,1,"1",6600
"229",1,2.91516431876701,163,1,"1",6650
"230",1,2.61714025227637,162,1,"1",6700
"231",1,2.83092108558043,59,1,"1",6750
"232",2,1.56227079405905,6,1,"1",6750
"233",1,1.73007825133145,36,1,"1",6800
"234",2,1.93961779894908,27,1,"1",6800
"235",3,0.804881761502893,1,1,"1",6800
"236",1,1.1765290615672,10,1,"1",6850
"237",2,2.16929072521326,74,1,"1",6850
"238",3,0.479846746368045,1,1,"1",6850
"239",1,2.38075254133826,144,1,"1",6900
"240",2,0.453491179627566,1,1,"1",6900
"241",1,2.6718107529433,115,1,"1",6950
"242",1,2.5518470595632,156,1,"1",7000
"243",1,2.39670859752905,184,1,"1",7050
"244",1,2.71653751038801,189,1,"1",7100
"245",1,2.81687400508374,165,1,"1",7150
"246",1,2.25243410890145,190,1,"1",7200
"247",1,2.69565121841181,182,1,"1",7250
"248",1,2.54455119592903,188,1,"1",7300
"249",1,2.54015562640192,167,1,"1",7350
"250",1,2.89635034359091,109,1,"1",7400
"251",2,4.56894946568683,1,1,"1",7400
"252",1,3.04382145254876,144,1,"1",7450
"253",1,3.22051864808383,117,1,"1",7500
"254",2,3.52296719541923,1,1,"1",7500
"255",1,3.33684365028469,103,1,"1",7550
"256",1,3.03881546209091,123,1,"1",7600
"257",1,2.74548595352608,125,1,"1",7650
"258",1,2.78890047907729,149,1,"1",7700
"259",1,3.07040729773908,150,1,"1",7750
"260",1,2.25933089845116,96,1,"1",7800
"261",2,2.86035213513188,6,1,"1",7800
"262",1,2.72300242589427,156,1,"1",7850
"263",1,0.683913598344117,1,1,"1",7900
"264",2,2.86683549185549,140,1,"1",7900
"265",1,2.66433334491029,137,1,"1",7950
"266",1,2.80825676504451,120,1,"1",8000
"267",1,3.33155965786699,91,1,"1",8050
"268",2,4.16402886072078,3,1,"1",8050
"269",1,2.54696974156694,36,1,"1",8100
"270",2,2.38262509392592,47,1,"1",8100
"271",1,2.9277662141554,157,1,"1",8150
"272",1,2.79238065185806,154,1,"1",8200
"273",1,2.70113717729765,152,1,"1",8250
"274",1,2.95642297628013,160,1,"1",8300
"275",1,3.11966481860058,149,1,"1",8350
"276",1,3.27366893766848,159,1,"1",8400
"277",1,3.34835561622286,159,1,"1",8450
"278",1,3.18583487254376,132,1,"1",8500
"279",2,4.32756077715842,1,1,"1",8500
"280",1,3.01621525193996,110,1,"1",8550
"281",2,4.15488397912625,1,1,"1",8550
"282",1,2.62592087772205,136,1,"1",8600
"283",2,1.65325528827054,3,1,"1",8600
"284",1,2.60409791986982,78,1,"1",8650
"285",2,2.70138076552099,14,1,"1",8650
"286",1,2.81433037430192,84,1,"1",8700
"287",2,0.524296948303155,1,1,"1",8700
"288",3,1.35128598141187,3,1,"1",8700
"289",1,2.91809162525401,129,1,"1",8750
"290",1,3.16487653715432,144,1,"1",8800
"291",1,3.33868562552301,140,1,"1",8850
"292",1,3.36680145334733,147,1,"1",8900
"293",1,3.16487468337267,63,1,"1",8950
"294",1,3.50088473330419,85,1,"1",9000
"295",2,2.3290346065192,6,1,"1",9000
"296",1,3.02062262312455,177,1,"1",9050
"297",1,2.76220735743969,53,1,"1",9100
"298",2,2.2646628890904,36,1,"1",9100
"299",1,2.92529449061019,121,1,"1",9150
"300",2,2.30373811704417,3,1,"1",9150
"301",1,2.56833854319394,136,1,"1",9200
"302",2,1.17634920503563,3,1,"1",9200
"303",1,2.84044200376993,136,1,"1",9250
"304",2,1.03626517849277,3,1,"1",9250
"305",1,2.47830908749774,91,1,"1",9300
"306",2,0.727945240340265,3,1,"1",9300
"307",3,2.9341938034717,3,1,"1",9300
"308",1,2.71288340515755,135,1,"1",9350
"309",2,0.716883803998295,3,1,"1",9350
"310",1,2.91712690635708,142,1,"1",9400
"311",1,3.21177714776679,160,1,"1",9450
"312",1,3.43845733787924,153,1,"1",9500
"313",1,3.44735745256854,164,1,"1",9550
"314",1,3.34606510492326,160,1,"1",9600
"315",1,3.22186773035485,161,1,"1",9650
"316",1,3.02841659233936,88,1,"1",9700
"317",2,2.36852876027343,10,1,"1",9700
"318",1,2.8928522120083,87,1,"1",9750
"319",2,2.40576012947414,10,1,"1",9750
"320",1,2.80652078090562,88,1,"1",9800
"321",1,2.7530125129087,102,1,"1",9850
"322",2,2.5130576256816,3,1,"1",9850
"323",1,2.72609995159879,46,1,"1",9900
"324",2,2.61712986116811,28,1,"1",9900
"325",1,2.39969332176673,40,1,"1",9950
"326",2,3.08870970987269,32,1,"1",9950
"327",1,3.27915883421343,1,1,"2",0
"328",2,2.23490274508758,1,1,"2",0
"329",3,3.06524046698166,3,1,"2",0
"330",4,4.07212070076519,3,1,"2",0
"331",1,2.80731639827078,1,1,"2",50
"332",2,0.116979057954832,1,1,"2",50
"333",3,4.78060562376777,1,1,"2",50
"334",4,3.35567119585626,3,1,"2",50
"335",5,4.10259252352547,6,1,"2",50
"336",6,0.809664899819672,1,1,"2",50
"337",1,3.42351757407495,1,1,"2",100
"338",2,3.73796084784204,1,1,"2",100
"339",3,2.52924713915106,6,1,"2",100
"340",4,3.13528103681547,11,1,"2",100
"341",1,4.28550562944444,1,1,"2",150
"342",2,2.98360175219011,13,1,"2",150
"343",3,2.9074264013004,20,1,"2",150
"344",1,3.19222370600711,27,1,"2",200
"345",2,3.44000703960039,19,1,"2",200
"346",1,3.28493180623048,4,1,"2",250
"347",2,2.66531173850255,20,1,"2",250
"348",3,2.81939116502117,21,1,"2",250
"349",1,3.62862879438415,2,1,"2",300
"350",2,0.741072229947932,1,1,"2",300
"351",3,3.11895590425842,65,1,"2",300
"352",1,2.87627703468695,37,1,"2",350
"353",2,0.706085072778063,1,1,"2",350
"354",3,4.67530898967175,5,1,"2",350
"355",1,2.88562293342054,79,1,"2",400
"356",2,0.671612581776128,1,1,"2",400
"357",1,2.69799271311099,1,1,"2",450
"358",2,0.659516648766355,1,1,"2",450
"359",3,3.03914285688334,15,1,"2",450
"360",4,2.74466165944035,21,1,"2",450
"361",1,2.26743099784756,1,1,"2",500
"362",2,0.650993394743755,1,1,"2",500
"363",3,3.02382439566181,16,1,"2",500
"364",4,2.91964225146236,23,1,"2",500
"365",1,2.04390015656343,1,1,"2",550
"366",2,0.651345561127118,1,1,"2",550
"367",3,3.19774754766954,18,1,"2",550
"368",4,2.96027789044851,24,1,"2",550
"369",1,1.78219851868416,1,1,"2",600
"370",2,0.496279810187761,1,1,"2",600
"371",3,3.27504549918615,20,1,"2",600
"372",4,3.02331404630218,25,1,"2",600
"373",1,1.48793312013679,1,1,"2",650
"374",2,0.560194858955345,1,1,"2",650
"375",3,3.95647339054004,4,1,"2",650
"376",4,2.77186068628448,6,1,"2",650
"377",5,2.76574669881941,24,1,"2",650
"378",1,1.02358173098195,1,1,"2",700
"379",2,0.30475199753242,1,1,"2",700
"380",3,3.59582634513842,10,1,"2",700
"381",4,2.68487179116642,24,1,"2",700
"382",5,0.406558286104219,1,1,"2",700
"383",1,0.903038166413801,1,1,"2",750
"384",2,0.507326561496636,1,1,"2",750
