"","compID","mean_within_dist","n_pairs","numPred","behaviorSpaceRun","tick"
"1",1,4.87830003177336,1,1,"1",0
"2",2,5.29548150879597,1,1,"1",0
"3",3,3.90681805693585,1,1,"1",0
"4",1,1.25924640956407,1,1,"1",50
"5",2,1.94599908787235,1,1,"1",50
"6",3,0.520700115229487,1,1,"1",50
"7",4,1.82097531284749,1,1,"1",50
"8",5,1.96530720244953,1,1,"1",50
"9",1,1.85317567974545,1,1,"1",100
"10",2,1.14738933274535,6,1,"1",100
"11",3,1.04550168818611,1,1,"1",100
"12",4,2.36154399704939,1,1,"1",100
"13",1,1.49622367980192,1,1,"1",150
"14",2,1.79680262967305,1,1,"1",150
"15",3,1.10929876448704,6,1,"1",150
"16",4,0.429797917631062,1,1,"1",150
"17",5,2.15147791529451,1,1,"1",150
"18",1,3.33394751536715,2,1,"1",200
"19",2,1.7261004605758,1,1,"1",200
"20",3,2.3306678906417,24,1,"1",200
"21",4,3.49016159654535,1,1,"1",200
"22",1,0.418072206682053,1,1,"1",250
"23",2,1.70501101462718,1,1,"1",250
"24",3,1.98806107474176,24,1,"1",250
"25",4,2.82276913154441,1,1,"1",250
"26",1,0.509823547906528,1,1,"1",300
"27",2,5.69853071677252,1,1,"1",300
"28",3,1.69240560445775,1,1,"1",300
"29",4,1.62729444772785,3,1,"1",300
"30",5,1.78534865461748,24,1,"1",300
"31",1,2.79077351893243,44,1,"1",350
"32",2,1.53626654407103,3,1,"1",350
"33",1,2.68538069825375,47,1,"1",400
"34",2,1.48157984628218,3,1,"1",400
"35",1,2.75887919245681,55,1,"1",450
"36",2,0.0384020832768252,1,1,"1",450
"37",1,2.05355249440223,6,1,"1",500
"38",2,1.44516467824113,3,1,"1",500
"39",3,1.85077878766846,31,1,"1",500
"40",1,2.9254345672365,58,1,"1",550
"41",2,1.41167420774625,3,1,"1",550
"42",1,2.91780378199018,61,1,"1",600
"43",2,1.35848464178281,3,1,"1",600
"44",1,2.84175440909722,64,1,"1",650
"45",2,1.38089530791896,3,1,"1",650
"46",1,2.89757762477652,66,1,"1",700
"47",2,1.32467071345344,3,1,"1",700
"48",1,2.77733786743391,66,1,"1",750
"49",2,1.10649739766677,3,1,"1",750
"50",1,2.70695136699583,102,1,"1",800
"51",1,2.34216925220008,98,1,"1",850
"52",1,2.27997234396241,98,1,"1",900
"53",1,1.96313978076548,91,1,"1",950
"54",2,1.35190570115615,3,1,"1",950
"55",1,2.5135954714798,96,1,"1",1000
"56",2,1.70571073815473,3,1,"1",1000
"57",1,2.05675951613632,15,1,"1",1050
"58",2,1.78541435941182,36,1,"1",1050
"59",3,0.979392173567234,3,1,"1",1050
"60",1,2.0137312762057,99,1,"1",1100
"61",2,1.40100563675538,3,1,"1",1100
"62",1,2.45059814299306,104,1,"1",1150
"63",2,0.934998613443894,3,1,"1",1150
"64",1,2.40553391127629,104,1,"1",1200
"65",2,0.747347243237687,3,1,"1",1200
"66",1,2.60272792654319,100,1,"1",1250
"67",2,0.475829789155442,3,1,"1",1250
"68",1,2.27668105050051,104,1,"1",1300
"69",2,0.61899662431497,3,1,"1",1300
"70",1,2.4859358026544,104,1,"1",1350
"71",2,1.09945098588348,3,1,"1",1350
"72",1,2.47287541483486,103,1,"1",1400
"73",2,0.831250398976056,3,1,"1",1400
"74",1,2.35217602744449,93,1,"1",1450
"75",2,0.564486182378516,3,1,"1",1450
"76",1,2.09326012885255,91,1,"1",1500
"77",2,0.631501020342705,3,1,"1",1500
"78",1,2.69822060499565,100,1,"1",1550
"79",1,2.51222759509002,88,1,"1",1600
"80",2,0.734104820997838,3,1,"1",1600
"81",3,1.6211286192033,1,1,"1",1600
"82",1,2.50424501064505,90,1,"1",1650
"83",2,2.7028426320101,10,1,"1",1650
"84",1,2.36893557245944,90,1,"1",1700
"85",2,1.96281946310455,10,1,"1",1700
"86",1,2.1699001248516,91,1,"1",1750
"87",2,1.80160289892084,10,1,"1",1750
"88",1,1.62104214084536,91,1,"1",1800
"89",2,1.71761165106288,10,1,"1",1800
"90",1,2.167625147547,91,1,"1",1850
"91",2,0.651036037249186,6,1,"1",1850
"92",1,2.40914922010721,89,1,"1",1900
"93",2,1.39896908020977,10,1,"1",1900
"94",1,1.85648592615461,91,1,"1",1950
"95",2,1.30002849458848,10,1,"1",1950
"96",1,1.69033046658607,91,1,"1",2000
"97",2,1.18776288693032,10,1,"1",2000
"98",1,2.18773580504367,90,1,"1",2050
"99",2,1.02689159957693,10,1,"1",2050
"100",1,1.842871298185,91,1,"1",2100
"101",2,0.872810338741559,10,1,"1",2100
"102",1,1.92310360784983,91,1,"1",2150
"103",2,1.00811527287311,10,1,"1",2150
"104",1,2.05423830858031,91,1,"1",2200
"105",2,1.03349015961605,10,1,"1",2200
"106",1,2.1264867902184,90,1,"1",2250
"107",2,0.761119882491318,10,1,"1",2250
"108",1,1.87601230161753,91,1,"1",2300
"109",2,1.32003559119965,11,1,"1",2300
"110",1,2.12189619735165,90,1,"1",2350
"111",2,2.12171741477682,14,1,"1",2350
"112",1,2.29993399926107,88,1,"1",2400
"113",2,1.00340219399134,10,1,"1",2400
"114",1,2.20496904460487,90,1,"1",2450
"115",2,1.18107492756712,10,1,"1",2450
"116",1,2.05551148751036,91,1,"1",2500
"117",2,1.0826909566774,10,1,"1",2500
"118",1,2.05679865251055,91,1,"1",2550
"119",2,0.891427580061768,10,1,"1",2550
"120",1,2.03843072350779,90,1,"1",2600
"121",2,0.890591628509139,10,1,"1",2600
"122",1,2.23392393283829,90,1,"1",2650
"123",2,0.744904077269674,10,1,"1",2650
"124",1,2.07380589320233,89,1,"1",2700
"125",2,1.2252906441786,10,1,"1",2700
"126",1,1.80736060362014,91,1,"1",2750
"127",2,1.22469799346872,10,1,"1",2750
"128",1,2.35647702239497,86,1,"1",2800
"129",2,1.07475275962505,10,1,"1",2800
"130",1,1.72031756658926,91,1,"1",2850
"131",2,0.966438995537327,10,1,"1",2850
"132",1,2.99661403836559,129,1,"1",2900
"133",2,3.37122222034252,2,1,"1",2900
"134",1,2.59937223060409,173,1,"1",2950
"135",1,2.682728129734,182,1,"1",3000
"136",1,2.63185608992873,188,1,"1",3050
"137",1,2.71240541214425,183,1,"1",3100
"138",1,3.0567882158819,125,1,"1",3150
"139",1,2.55462631055291,152,1,"1",3200
"140",1,2.65892158390998,152,1,"1",3250
"141",1,2.69164391653018,152,1,"1",3300
"142",1,3.2778199372749,102,1,"1",3350
"143",2,3.12186787144708,3,1,"1",3350
"144",1,2.74994942641804,119,1,"1",3400
"145",2,1.91512770940817,3,1,"1",3400
"146",1,2.79574106893991,120,1,"1",3450
"147",2,1.55840007198557,3,1,"1",3450
"148",1,2.81526362885486,120,1,"1",3500
"149",2,1.49488849778339,3,1,"1",3500
"150",1,3.01508472293723,72,1,"1",3550
"151",2,2.28116634421956,1,1,"1",3550
"152",3,3.18772771040085,3,1,"1",3550
"153",1,2.79809624997498,73,1,"1",3600
"154",2,1.13567646583211,3,1,"1",3600
"155",3,2.2916408809757,3,1,"1",3600
"156",1,3.05445202105876,6,1,"1",3650
"157",2,2.66956641038906,75,1,"1",3650
"158",3,2.4379310641385,3,1,"1",3650
"159",1,3.26366642228871,6,1,"1",3700
"160",2,3.80024401834958,12,1,"1",3700
"161",3,2.64165750970958,31,1,"1",3700
"162",1,3.14503677501016,6,1,"1",3750
"163",2,2.80648976074109,52,1,"1",3750
"164",1,3.03471038883537,6,1,"1",3800
"165",2,3.01337887273009,19,1,"1",3800
"166",3,2.65097389909249,34,1,"1",3800
"167",1,2.94414191213238,6,1,"1",3850
"168",2,2.96408843909568,20,1,"1",3850
"169",3,2.57048713786921,35,1,"1",3850
"170",1,2.87914386748801,6,1,"1",3900
"171",2,3.04300894359047,21,1,"1",3900
"172",3,2.51865549840133,35,1,"1",3900
"173",1,2.70206594311244,6,1,"1",3950
"174",2,3.49132073489034,52,1,"1",3950
"175",1,2.48788503990986,6,1,"1",4000
"176",2,2.43220310345192,21,1,"1",4000
"177",3,1.77120549699573,28,1,"1",4000
"178",1,2.89400357707314,10,1,"1",4050
"179",2,2.49709795015773,21,1,"1",4050
"180",3,1.48073515030591,28,1,"1",4050
"181",1,2.60013377745589,10,1,"1",4100
"182",2,0.861252621083315,10,1,"1",4100
"183",3,1.66714127487427,28,1,"1",4100
"184",4,0.414657063125661,1,1,"1",4100
"185",1,2.43014715802127,10,1,"1",4150
"186",2,2.22186651076966,21,1,"1",4150
"187",3,2.90396499075691,25,1,"1",4150
"188",1,2.08863650766773,10,1,"1",4200
"189",2,1.9902946763528,21,1,"1",4200
