effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high
fixed,(Intercept),11.810623487629712,0.2695974012367952,43.808372905108605,815.3210521685502,1.8943333193576652e-216,11.281436719977194,12.33981025528223
fixed,terrPred,-1.5449163272108226,0.21540254916454826,-7.172228616619782,4038.097295567532,8.734792723645136e-13,-1.967224146124845,-1.1226085082968003
fixed,terrPrey,-1.0297342499619713,0.21868036416182432,-4.7088555660167275,4030.206919197476,2.5749116739205656e-6,-1.4584686460780318,-0.6009998538459107
fixed,memNone,0.6921185113367921,0.21915806091995432,3.1580791892002673,4012.39246996435,0.0015999123131566863,0.26244699242623737,1.121790030247347
fixed,memShared,-1.1062620178845675,0.21030980300558486,-5.2601543155607935,4014.5284095909205,1.5144202813532056e-7,-1.5185859707999265,-0.6939380649692084
fixed,numPred2,-1.946682087112203,0.2795446903201821,-6.963759837049782,256.2376326141362,2.778098912275589e-11,-2.497179721949036,-1.39618445227537
fixed,numPred3,-3.496317945787599,0.27017531319874855,-12.940923078399873,222.46448916548036,6.286185589442225e-29,-4.028748340618417,-2.96388755095678
fixed,numPred4,-4.040145444314704,0.26720399135058437,-15.120078947525304,214.9607849933696,1.1557950490965214e-35,-4.566820852778788,-3.51347003585062
